UD,time_s,Vcommand_mps,Vcommand_RPM
D,1629070715.1943867,-0.0005235000000000004,-15.705000000000014
D,1629070715.3060951,-0.0005177500000000002,-15.532500000000006
D,1629070715.4147391,-0.000512,-15.359999999999998
D,1629070715.5267615,-0.0005062499999999998,-15.187499999999993
D,1629070715.6386087,-0.000501,-15.030000000000001
D,1629070715.7492857,-0.0004949999999999997,-14.849999999999989
D,1629070715.8595753,-0.00048975,-14.692499999999999
D,1629070715.971045,-0.0004837500000000009,-14.512500000000026
D,1629070716.0824623,-0.00047875,-14.3625
D,1629070716.1902397,-0.00047350000000000034,-14.20500000000001
D,1629070716.3009586,-0.00046850000000000087,-14.055000000000026
D,1629070716.4117515,-0.0004632499999999998,-13.897499999999994
D,1629070716.5220315,-0.0004580000000000001,-13.740000000000002
D,1629070716.6439042,-0.00045250000000000016,-13.575000000000005
D,1629070716.7456567,-0.0004475000000000007,-13.42500000000002
D,1629070716.8752258,-0.00044200000000000077,-13.260000000000023
D,1629070716.9843042,-0.0004369999999999999,-13.109999999999996
D,1629070717.1180842,-0.0004312499999999997,-12.937499999999993
D,1629070717.222237,-0.0004265000000000005,-12.795000000000014
D,1629070717.3561993,-0.00042075000000000033,-12.62250000000001
D,1629070717.4813044,-0.0004155000000000006,-12.465000000000018
D,1629070717.592502,-0.00041075000000000004,-12.322500000000002
D,1629070717.6995983,-0.00040649999999999996,-12.194999999999999
D,1629070717.8056228,-0.00040175000000000074,-12.052500000000022
D,1629070717.9109418,-0.00039750000000000066,-11.92500000000002
D,1629070718.0215278,-0.0003932500000000006,-11.797500000000017
D,1629070718.1311188,-0.00038849999999999996,-11.654999999999998
D,1629070718.2421634,-0.00038450000000000013,-11.535000000000004
D,1629070718.3539813,-0.0003799999999999998,-11.399999999999993
D,1629070718.4647613,-0.00037574999999999973,-11.272499999999992
D,1629070718.5780544,-0.00037149999999999965,-11.144999999999989
D,1629070718.688701,-0.0003672499999999995,-11.017499999999986
D,1629070718.79945,-0.00036300000000000085,-10.890000000000025
D,1629070718.9105487,-0.0003587500000000008,-10.762500000000024
D,1629070719.0223763,-0.00035474999999999954,-10.642499999999988
D,1629070719.1317592,-0.0003505000000000008,-10.515000000000024
D,1629070719.242477,-0.00034674999999999984,-10.402499999999995
D,1629070719.3643146,-0.0003422499999999995,-10.267499999999984
D,1629070719.4706354,-0.0003387500000000002,-10.162500000000005
D,1629070719.5773714,-0.0003350000000000006,-10.050000000000018
D,1629070719.6929822,-0.0003310000000000008,-9.930000000000023
D,1629070719.7979856,-0.0003272499999999998,-9.817499999999994
D,1629070719.918263,-0.0003235000000000002,-9.705000000000007
D,1629070720.0375857,-0.00031950000000000034,-9.58500000000001
D,1629070720.14434,-0.0003162499999999999,-9.487499999999997
D,1629070720.2496681,-0.0003130000000000008,-9.390000000000024
D,1629070720.3677711,-0.00030924999999999985,-9.277499999999996
D,1629070720.479502,-0.00030575000000000047,-9.172500000000014
D,1629070720.5905526,-0.00030250000000000003,-9.075000000000001
D,1629070720.7009482,-0.00029924999999999955,-8.977499999999987
D,1629070720.8044043,-0.00029600000000000047,-8.880000000000015
D,1629070720.910476,-0.00029275,-8.7825
D,1629070721.018815,-0.00029,-8.7
D,1629070721.1247475,-0.0002867499999999995,-8.602499999999985
D,1629070721.2360764,-0.0002832500000000002,-8.497500000000004
D,1629070721.3473222,-0.0002805000000000002,-8.415000000000006
D,1629070721.4583316,-0.0002772499999999997,-8.317499999999992
D,1629070721.573966,-0.0002737500000000004,-8.212500000000011
D,1629070721.6815102,-0.00027075000000000016,-8.122500000000004
D,1629070721.7977636,-0.00026749999999999967,-8.02499999999999
D,1629070721.9064276,-0.00026450000000000085,-7.935000000000025
D,1629070722.0172448,-0.0002615000000000006,-7.845000000000018
D,1629070722.1276393,-0.0002587500000000007,-7.76250000000002
D,1629070722.2334747,-0.00025575000000000044,-7.672500000000014
D,1629070722.3442686,-0.0002527500000000002,-7.582500000000006
D,1629070722.4549904,-0.00025025000000000047,-7.507500000000014
D,1629070722.5656576,-0.00024725000000000024,-7.4175000000000075
D,1629070722.6764555,-0.00024399999999999978,-7.319999999999993
D,1629070722.7872279,-0.00024150000000000007,-7.245000000000002
D,1629070722.8973823,-0.00023900000000000033,-7.17000000000001
D,1629070723.0087068,-0.0002360000000000001,-7.080000000000003
D,1629070723.1305375,-0.00023325000000000014,-6.997500000000004
D,1629070723.2485297,-0.0002302499999999999,-6.907499999999997
D,1629070723.352428,-0.00022800000000000045,-6.840000000000013
D,1629070723.4596753,-0.00022525000000000046,-6.757500000000014
D,1629070723.5765383,-0.00022199999999999998,-6.659999999999999
D,1629070723.680373,-0.00021950000000000027,-6.585000000000008
D,1629070723.7863598,-0.00021725000000000078,-6.517500000000023
D,1629070723.90271,-0.00021474999999999966,-6.44249999999999
D,1629070724.0144618,-0.00021224999999999995,-6.367499999999999
D,1629070724.1258543,-0.00020975000000000022,-6.292500000000007
D,1629070724.2376792,-0.00020750000000000076,-6.225000000000023
D,1629070724.3495123,-0.00020499999999999964,-6.14999999999999
D,1629070724.477663,-0.0002024999999999999,-6.074999999999997
D,1629070724.5829911,-0.00020025000000000045,-6.007500000000014
D,1629070724.7326894,0.0,0.0
D,1629070724.855479,0.0,0.0
D,1629070724.9763665,0.0,0.0
D,1629070725.0853066,0.0,0.0
D,1629070725.1988838,0.0,0.0
D,1629070725.3210626,0.0,0.0
D,1629070725.4280496,0.0,0.0
D,1629070725.538654,0.0,0.0
D,1629070725.6604824,0.0,0.0
D,1629070725.7670915,0.0,0.0
D,1629070725.8872545,0.0,0.0
D,1629070726.0027423,0.0,0.0
D,1629070726.1134207,0.0,0.0
D,1629070726.2204509,0.0,0.0
D,1629070726.321347,0.0,0.0
D,1629070726.4269,0.0,0.0
D,1629070726.5565672,0.0,0.0
D,1629070726.6690416,0.0,0.0
D,1629070726.780925,0.0,0.0
D,1629070726.8911984,0.0,0.0
D,1629070727.002214,0.0,0.0
D,1629070727.1090338,0.0,0.0
D,1629070727.2197301,0.0,0.0
D,1629070727.3279502,0.0,0.0
D,1629070727.4389746,0.0,0.0
D,1629070727.5496316,0.0,0.0
D,1629070727.6609728,0.0,0.0
D,1629070727.7725344,0.0,0.0
D,1629070727.8847296,0.0,0.0
D,1629070727.9923265,0.0,0.0
D,1629070728.103192,0.0,0.0
D,1629070728.2137856,0.0,0.0
D,1629070728.3331814,0.0,0.0
D,1629070728.4389226,0.0,0.0
D,1629070728.5461586,0.0,0.0
D,1629070728.651254,0.0,0.0
D,1629070728.7561467,0.0,0.0
D,1629070728.8685954,0.0,0.0
D,1629070728.9982917,0.0,0.0
D,1629070729.1293097,0.0,0.0
D,1629070729.2462137,0.0,0.0
D,1629070729.3577106,0.0,0.0
D,1629070729.4693604,0.0,0.0
D,1629070729.5790284,0.0,0.0
D,1629070729.6927347,0.0,0.0
D,1629070729.808449,0.0,0.0
D,1629070729.9178264,0.0,0.0
D,1629070730.0542226,0.0,0.0
D,1629070730.1642957,0.0,0.0
D,1629070730.2771578,0.0,0.0
D,1629070730.3920338,0.0,0.0
D,1629070730.5058181,0.0,0.0
D,1629070730.629255,0.0,0.0
D,1629070730.7392988,0.0,0.0
D,1629070730.849896,0.0,0.0
D,1629070730.9700744,0.0,0.0
D,1629070731.0832145,0.0,0.0
D,1629070731.1927638,0.0,0.0
D,1629070731.312374,0.0,0.0
D,1629070731.4187028,0.0,0.0
D,1629070731.5320382,0.0,0.0
D,1629070731.6491416,0.0,0.0
D,1629070731.7499118,0.0,0.0
D,1629070731.8601503,0.0,0.0
D,1629070731.9715295,0.0,0.0
D,1629070732.0792413,0.0,0.0
D,1629070732.1921928,0.0,0.0
D,1629070732.3038678,0.0,0.0
D,1629070732.4106584,0.0,0.0
D,1629070732.5296018,0.0,0.0
D,1629070732.6413963,0.0,0.0
D,1629070732.7588866,0.0,0.0
D,1629070732.872981,0.0,0.0
D,1629070732.9763706,0.0,0.0
D,1629070733.0875888,0.0,0.0
D,1629070733.198986,0.0,0.0
D,1629070733.3098497,0.0,0.0
D,1629070733.4210851,0.0,0.0
D,1629070733.5326197,0.0,0.0
D,1629070733.6449811,0.0,0.0
D,1629070733.7560048,0.0,0.0
D,1629070733.868206,0.0,0.0
D,1629070733.9788475,0.0,0.0
D,1629070734.0904436,0.0,0.0
D,1629070734.2087483,0.0,0.0
D,1629070734.315298,0.0,0.0
D,1629070734.4240673,0.0,0.0
D,1629070734.5356495,0.0,0.0
D,1629070734.644331,0.0,0.0
D,1629070734.756244,0.0,0.0
D,1629070734.8670235,0.0,0.0
D,1629070734.9784298,0.0,0.0
D,1629070735.0902176,0.0,0.0
D,1629070735.1980433,0.0,0.0
D,1629070735.3090434,0.0,0.0
D,1629070735.4305253,0.0,0.0
D,1629070735.5463936,0.0,0.0
D,1629070735.658119,0.0,0.0
D,1629070735.7700438,0.0,0.0
D,1629070735.87477,0.0,0.0
