UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.2,1629072397.2334678,0.0,0.0
D,-0.2,1629072397.3624375,0.0,0.0
D,-0.2,1629072397.46996,0.0,0.0
D,-0.2,1629072397.577275,0.0,0.0
D,-0.2,1629072397.6788151,0.0,0.0
D,-0.2,1629072397.7905905,0.0,0.0
D,-0.2,1629072397.9057708,0.0,0.0
D,-0.2,1629072398.0154643,0.0,0.0
D,-0.2,1629072398.12903,0.0,0.0
D,-0.2,1629072398.2408745,0.0,0.0
D,-0.2,1629072398.352824,0.0,0.0
D,-0.2,1629072398.4660287,0.0,0.0
D,-0.2,1629072398.5777297,0.0,0.0
D,-0.2,1629072398.684758,0.0,0.0
D,-0.2,1629072398.7928286,0.0,0.0
D,-0.2,1629072398.9047327,0.0,0.0
D,-0.2,1629072399.0169168,0.0,0.0
D,-0.2,1629072399.125421,0.0,0.0
D,-0.2,1629072399.236105,0.0,0.0
D,-0.2,1629072399.3402994,0.0,0.0
D,-0.2,1629072399.4644904,0.0,0.0
D,-0.2,1629072399.5792148,0.0,0.0
D,-0.2,1629072399.68082,0.0,0.0
D,-0.2,1629072399.7919981,0.0,0.0
D,-0.2,1629072399.9016929,0.0,0.0
D,-0.2,1629072400.0161052,0.0,0.0
D,-0.2,1629072400.1280756,0.0,0.0
D,-0.2,1629072400.2397108,0.0,0.0
D,-0.2,1629072400.3519616,0.0,0.0
D,-0.2,1629072400.4648435,0.0,0.0
D,-0.2,1629072400.5770893,0.0,0.0
D,-0.2,1629072400.6894789,0.0,0.0
D,-0.2,1629072400.7973452,0.0,0.0
D,-0.2,1629072400.9090726,0.0,0.0
D,-0.2,1629072401.0212307,0.0,0.0
D,-0.2,1629072401.1278238,0.0,0.0
D,-0.2,1629072401.2432306,0.0,0.0
D,-0.2,1629072401.351439,0.0,0.0
D,-0.2,1629072401.4647233,0.0,0.0
D,-0.2,1629072401.570822,0.0,0.0
D,-0.2,1629072401.683299,0.0,0.0
D,-0.2,1629072401.7966733,0.0,0.0
D,-0.2,1629072401.9076998,0.0,0.0
D,-0.2,1629072402.0163105,-0.0009860000000000008,-29.580000000000023
