time_s,cpu_t_degC,motor_command,Z1_m,Z2_m,X_m,Y_m,TZ1,TZ2,TX,TY,WOB_gm,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,
1623529203.8591473,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.2511443393347574,-0.33567287152883735,-0.45773573390296,0.24412572474824534,-8.444898366162757,106.46763610839844,1031.4722900390625,6062,0.0,0.011,0.288,0.9553,
1623529203.9630806,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.33567287152883735,0.12206286237412267,-0.9765028989929814,-0.33567287152883735,-6.414398384419491,106.46763610839844,1031.4722900390625,6062,0.0,0.011,0.288,0.9553,
1623529204.0603714,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.5797985962770826,-0.42722001830942935,-0.24412572474824534,0.091547146780592,-1438.9052770389262,106.46763610839844,1031.4722900390625,6062,0.0,0.011,0.288,0.9553,
1623529204.2201414,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.3051571559353067,-0.061031431187061336,0.274641440341776,-0.6103143118706134,-5.909459235520372,106.46763610839844,1031.4722900390625,6062,0.0,0.011,0.288,0.9553,
1623529204.3744733,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.42722001830942935,-0.21361000915471468,-0.6103143118706134,-0.3051571559353067,-5.936317700887346,106.46763610839844,1031.4722900390625,6130,0.0,0.0137,0.2878,0.9573,
1623529204.4299514,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.4882514494964907,-0.274641440341776,-0.549282880683552,-0.061031431187061336,-6.801160285703922,106.46763610839844,1031.4722900390625,6130,0.0,0.0137,0.2878,0.9573,
1623529204.5381672,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8544400366188587,0.0,-0.12206286237412267,-0.274641440341776,-8.643651009878367,106.04935455322266,1031.4722900390625,6130,0.0,0.0137,0.2878,0.9573,
1623529204.5934067,69.627,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7934086054317974,-0.21361000915471468,-0.42722001830942935,-0.24412572474824534,-5.055360036850586,106.04935455322266,1031.4722900390625,6130,0.0,0.0137,0.2878,0.9573,
1623529204.701879,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,0.030515715593530668,0.0,0.0,-0.12206286237412267,-7.2577541969424875,106.04935455322266,1031.4722900390625,6130,0.0,0.0137,0.2878,0.9573,
1623529204.7570977,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.647848642050656,-0.24412572474824534,-0.4882514494964907,-0.366188587122368,-6.156557116896537,106.04935455322266,1031.4722900390625,6130,0.0,0.0137,0.2878,0.9573,
1623529204.876516,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.091547146780592,0.12206286237412267,0.12206286237412267,0.6103143118706134,-6.086725106942403,106.04935455322266,1031.4722900390625,6199,0.0,0.0121,0.2886,0.9556,
1623529204.9850092,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.007018614586512,-0.33567287152883735,0.3051571559353067,0.274641440341776,-7.875498900382899,106.04935455322266,1031.4722900390625,6199,0.0,0.0121,0.2886,0.9556,
1623529205.0402186,69.627,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7628928898382668,-0.3967043027158987,-1.007018614586512,-0.24412572474824534,-5.990034631621295,106.04935455322266,1031.4722900390625,6199,0.0,0.0121,0.2886,0.9556,
1623529205.1489096,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.549282880683552,0.030515715593530668,-0.061031431187061336,-0.061031431187061336,-6.258619285291039,106.04935455322266,1031.4722900390625,6199,0.0,0.0121,0.2886,0.9556,
1623529205.3012044,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7934086054317974,0.091547146780592,0.21361000915471468,0.6103143118706134,-6.065238334648824,106.04935455322266,1031.4722900390625,6199,0.0,0.0121,0.2886,0.9556,
1623529205.3565202,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.4882514494964907,-0.030515715593530668,-0.091547146780592,-0.21361000915471468,-7.112718483960826,105.48210144042969,1018.3793334960938,6267,0.0,0.0144,0.2882,0.9567,
1623529205.5998123,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.6408300274641441,0.4882514494964907,-0.24412572474824534,0.3051571559353067,-9.567582218502286,105.48210144042969,1018.3793334960938,6267,0.0,0.0144,0.2882,0.9567,
1623529205.7081494,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.6408300274641441,-0.12206286237412267,0.15257857796765334,0.061031431187061336,-6.6776113450158405,105.48210144042969,1018.3793334960938,6267,0.0,0.0144,0.2882,0.9567,
1623529205.7634623,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.1290814769606348,0.4882514494964907,-0.3967043027158987,-1.098565761367104,-3.051718520474295,105.48210144042969,1018.3793334960938,6267,0.0,0.0144,0.2882,0.9567,
1623529205.8718235,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.6103143118706134,0.061031431187061336,0.24412572474824534,0.42722001830942935,-5.297086225153356,105.48210144042969,1018.3793334960938,6267,0.0,0.0144,0.2882,0.9567,
