pos_0_m, torque_0_Percent,pos_1_m, torque_1_Percent,pos_2_m, torque_2_Percent,pos_3_m, torque_3_Percent,
-0.0301025,3.9365273115654564,2.6250000000000003e-06,2.8379615501983526,-0.05933,-2.7158986878242297,0.12455,-0.15257857796765334,
-0.0301025,2.4412572474824534,2.6250000000000003e-06,3.2041501373207204,-0.05933,-2.929508696978944,0.12455,-1.7088800732377174,
-0.0301025,2.74641440341776,2.6250000000000003e-06,2.898992981385413,-0.05933,-2.9905401281660056,0.12454,-0.7934086054317974,
-0.0301025,3.417760146475435,2.6250000000000003e-06,3.112602990540128,-0.05933,-4.241684467500763,0.12455,-0.24412572474824534,
-0.0301025,3.6008544400366187,2.6250000000000003e-06,3.3262129996948433,-0.05933,-2.502288678669515,0.12455,-2.532804394263045,
-0.0301025,3.417760146475435,2.6250000000000003e-06,3.5398230088495577,-0.05933,-3.234665852914251,0.12454,-0.91547146780592,
-0.0301025,4.363747329874885,2.6250000000000003e-06,3.5398230088495577,-0.05933,-3.814464449191334,0.12454,-0.15257857796765334,
-0.0301025,4.699420201403723,2.6250000000000003e-06,2.929508696978944,-0.05933,-4.913030210558437,0.12455,-1.7088800732377174,
-0.0301025,5.187671650900214,2.6250000000000003e-06,3.4787915776624962,-0.05933,-4.302715898687825,0.12454,-2.105584375953616,
-0.0301025,4.638388770216661,2.6250000000000003e-06,3.234665852914251,-0.05933,-4.394263045468416,0.12454,0.183094293561184,
-0.0301025,4.54684162343607,2.6250000000000003e-06,3.051571559353067,-0.05933,-4.516325907842539,0.12455,-1.2816600549282882,
-0.0301025,4.302715898687825,2.6250000000000003e-06,3.1431187061336585,-0.05933,-4.821483063777846,0.12454,-2.197131522734208,
-0.0301025,3.7839487335978026,2.6250000000000003e-06,3.295697284101312,-0.05933,-3.570338724443088,0.12454,-0.549282880683552,
-0.0301025,3.5093072932560263,2.6250000000000003e-06,3.2041501373207204,-0.05933,-3.417760146475435,0.12455,-1.0375343301800428,
