Time [s], CPU Temperature [degC], PWM command, Current [mA], Active Power [W]
1626701880.4565501, 38.459, 0.75, 720.3561401367188, 60.25245666503906
1626701880.5213745, 38.946, 0.75, 720.3561401367188, 60.25245666503906
1626701880.586797, 39.92, 0.75, 720.3561401367188, 60.25245666503906
1626701880.649201, 38.946, 0.75, 720.3561401367188, 60.25245666503906
1626701880.713147, 38.946, 0.75, 720.3561401367188, 60.25245666503906
1626701880.7783885, 39.92, 0.75, 720.3561401367188, 60.25245666503906
1626701880.8401222, 38.946, 0.75, 720.3561401367188, 60.25245666503906
1626701880.9057593, 38.946, 0.75, 720.3561401367188, 60.25245666503906
1626701880.9685185, 39.433, 0.75, 723.4412841796875, 60.16716384887695
1626701881.0334, 39.92, 0.75, 723.4412841796875, 60.16716384887695
1626701881.0973847, 38.459, 0.75, 723.4412841796875, 60.16716384887695
1626701881.160483, 39.433, 0.75, 723.4412841796875, 60.16716384887695
1626701881.2244303, 39.433, 0.75, 723.4412841796875, 60.16716384887695
1626701881.288382, 38.946, 0.75, 723.4412841796875, 60.16716384887695
1626701881.3528783, 39.92, 0.75, 723.4412841796875, 60.16716384887695
1626701881.417659, 38.459, 0.75, 723.4412841796875, 60.16716384887695
1626701881.4810936, 40.407, 0.75, 723.4412841796875, 60.16716384887695
1626701881.5451236, 39.433, 0.75, 723.4412841796875, 60.16716384887695
1626701881.608807, 40.407, 0.75, 723.4412841796875, 60.16716384887695
1626701881.6716192, 38.946, 0.75, 723.4412841796875, 60.16716384887695
1626701881.7372496, 39.92, 0.75, 723.4412841796875, 60.16716384887695
1626701881.8005028, 39.92, 0.75, 726.9303588867188, 60.31187057495117
1626701881.8650486, 39.92, 0.75, 726.9303588867188, 60.31187057495117
1626701881.9283752, 39.92, 0.75, 726.9303588867188, 60.31187057495117
1626701881.9930887, 39.92, 0.75, 726.9303588867188, 60.31187057495117
1626701882.0569623, 40.407, 0.75, 726.9303588867188, 60.31187057495117
1626701882.1203988, 39.433, 0.75, 726.9303588867188, 60.31187057495117
1626701882.1840875, 40.894, 0.75, 726.9303588867188, 60.31187057495117
1626701882.2497983, 38.946, 0.75, 726.9303588867188, 60.31187057495117
1626701882.3132737, 39.433, 0.75, 726.9303588867188, 60.31187057495117
1626701882.3774667, 39.92, 0.75, 726.9303588867188, 60.31187057495117
1626701882.4405506, 40.407, 0.75, 726.9303588867188, 60.31187057495117
1626701882.504694, 38.946, 0.75, 726.9303588867188, 60.31187057495117
1626701882.5683873, 38.459, 0.75, 726.9303588867188, 60.31187057495117
1626701882.6331005, 38.946, 0.75, 721.1116943359375, 60.030616760253906
1626701882.6965766, 39.92, 0.75, 721.1116943359375, 60.030616760253906
1626701882.7604346, 39.92, 0.75, 721.1116943359375, 60.030616760253906
1626701882.8232303, 39.433, 0.75, 721.1116943359375, 60.030616760253906
1626701882.888368, 39.92, 0.75, 721.1116943359375, 60.030616760253906
1626701882.9524696, 39.92, 0.75, 721.1116943359375, 60.030616760253906
1626701883.0170338, 39.92, 0.75, 721.1116943359375, 60.030616760253906
1626701883.0807133, 38.459, 0.75, 721.1116943359375, 60.030616760253906
1626701883.143998, 39.92, 0.75, 721.1116943359375, 60.030616760253906
1626701883.2077417, 39.433, 0.75, 721.1116943359375, 60.030616760253906
1626701883.2724185, 38.946, 0.75, 721.1116943359375, 60.030616760253906
1626701883.336927, 39.433, 0.75, 721.1116943359375, 60.030616760253906
1626701883.4009845, 38.946, 0.75, 721.1116943359375, 60.030616760253906
1626701883.4633296, 39.92, 0.75, 727.3975219726562, 60.97138595581055
1626701883.5278602, 38.946, 0.75, 727.3975219726562, 60.97138595581055
1626701883.5920217, 39.92, 0.75, 727.3975219726562, 60.97138595581055
1626701883.6565871, 38.946, 0.75, 727.3975219726562, 60.97138595581055
1626701883.7206094, 38.946, 0.75, 727.3975219726562, 60.97138595581055
1626701883.7842689, 39.433, 0.75, 727.3975219726562, 60.97138595581055
1626701883.8490179, 39.92, 0.75, 727.3975219726562, 60.97138595581055
1626701883.9117365, 39.433, 0.75, 727.3975219726562, 60.97138595581055
1626701883.9760535, 39.433, 0.75, 727.3975219726562, 60.97138595581055
1626701884.0393703, 40.407, 0.75, 727.3975219726562, 60.97138595581055
1626701884.1044447, 38.946, 0.75, 727.3975219726562, 60.97138595581055
1626701884.1697257, 39.92, 0.75, 727.3975219726562, 60.97138595581055
1626701884.2324913, 39.92, 0.75, 727.3975219726562, 60.97138595581055
1626701884.2955756, 38.946, 0.75, 731.8386840820312, 60.373226165771484
1626701884.3604763, 38.459, 0.75, 731.8386840820312, 60.373226165771484
1626701884.4239736, 40.407, 0.75, 731.8386840820312, 60.373226165771484
1626701884.4873521, 39.433, 0.75, 731.8386840820312, 60.373226165771484
1626701884.5526533, 38.459, 0.75, 731.8386840820312, 60.373226165771484
1626701884.6157367, 39.92, 0.75, 731.8386840820312, 60.373226165771484
1626701884.6791286, 39.433, 0.75, 731.8386840820312, 60.373226165771484
1626701884.7431312, 40.407, 0.75, 731.8386840820312, 60.373226165771484
1626701884.8081603, 38.459, 0.75, 731.8386840820312, 60.373226165771484
1626701884.872292, 40.894, 0.75, 731.8386840820312, 60.373226165771484
1626701884.9348571, 38.946, 0.75, 731.8386840820312, 60.373226165771484
1626701885.0003479, 40.407, 0.75, 731.8386840820312, 60.373226165771484
1626701885.0633876, 38.459, 0.75, 731.8386840820312, 60.373226165771484
1626701885.1276898, 38.946, 0.75, 724.9107666015625, 60.44867706298828
1626701885.19163, 40.407, 0.75, 724.9107666015625, 60.44867706298828
1626701885.2552102, 38.946, 0.75, 724.9107666015625, 60.44867706298828
1626701885.319814, 38.946, 0.75, 724.9107666015625, 60.44867706298828
1626701885.3849952, 39.92, 0.75, 724.9107666015625, 60.44867706298828
1626701885.447806, 40.894, 0.75, 724.9107666015625, 60.44867706298828
1626701885.5115886, 38.459, 0.75, 724.9107666015625, 60.44867706298828
1626701885.5744166, 39.433, 0.75, 724.9107666015625, 60.44867706298828
1626701885.639775, 38.946, 0.75, 724.9107666015625, 60.44867706298828
1626701885.7029853, 39.92, 0.75, 724.9107666015625, 60.44867706298828
